cbsa_code,cbsa_title,state_code,county_code,persons,households,age_lt_1,age_1_to_2,age_3_to_4,age_5,age_6,age_7_to_9,age_10_to_13,age_14,age_15,age_16,age_17,age_18,age_19,age_20,age_21,age_22_to_24,age_25_to_29,age_30_to_34,age_35_to_44,age_45_to_54,age_55_to_59,age_60_to_61,age_62_to_64,age_65_to_74,age_75_to_84,age_ge_85,inc_lt_2500,inc_2500_4999,inc_5000_7499,inc_7500_9999,inc_10000_12499,inc_12500_14999,inc_15000_17499,inc_17500_19999,inc_20000_22499,inc_22500_24999,inc_25000_27499,inc_27500_29999,inc_30000_34999,inc_35000_39999,inc_40000_49999,inc_50000_74999,inc_ge_75000,worked_35_plus,worked_1_to_34_hours,car_truck_or_van__drive_alone,car_truck_or_van__carpool,public_transportation,walked_only,other_means,worked_at_home,commute_lt_5,commute_5_to_9,commute_10_to_14,commute_15_to_20,commute_20_to_29,commute_30_to_44,commute_45_to_59,commute_gt_60,jan_ave_temp,feb_ave_temp,mar_ave_temp,apr_ave_temp,may_ave_temp,june_ave_temp,july_ave_temp,aug_ave_temp,sept_ave_temp,oct_ave_temp,nov_ave_temp,dec_ave_temp,jan_precip,feb_precip,mar_precip,apr_precip,may_precip,june_precip,july_precip,aug_precip,sept_precip,oct_precip,nov_precip,dec_precip,ag_forestry_fish_mining,construction,manufacturing_nondurable,manufacturing_durable,transportation,comms_and_util,wholesale_trade,retail_trade,finance_insurance_realestate,business_repair,personal_entertainment_and_rec,health_services,educational_services,other_pro_services,public_admin
21260,"Ellensburg, WA",53,037,24877.0,9496.0,302.0,624.0,619.0,272.0,259.0,924.0,1302.0,315.0,408.0,395.0,353.0,707.0,1063.0,970.0,881.0,1888.0,2120.0,1851.0,2477.0,1963.0,1130.0,413.0,699.0,1804.0,819.0,319.0,669.0,1277.0,982.0,954.0,814.0,805.0,611.0,646.0,623.0,406.0,381.0,245.0,433.0,216.0,205.0,198.0,58.0,9189.0,3859.0,5434.0,1735.0,12.0,1336.0,549.0,543.0,961.0,2804.0,2229.0,1350.0,699.0,464.0,145.0,316.0,23.8,30.73,35.69,42.44,49.760000000000005,56.49,63.56999999999999,63.33,55.55,45.16,33.06,28.410000000000004,6.0920000000000005,4.088,3.2950000000000004,1.6800000000000002,1.299,1.2559999999999998,0.469,1.116,1.339,1.763,4.6530000000000005,7.369,878.0,438.0,529.0,306.0,306.0,240.0,240.0,2067.0,390.0,288.0,622.0,518.0,2146.0,442.0,412.0
21300,"Elmira, NY",36,015,97656.0,34521.0,1482.0,2647.0,2638.0,1283.0,1272.0,4401.0,6340.0,1671.0,1877.0,1908.0,1962.0,2021.0,1944.0,1909.0,1758.0,4818.0,7516.0,6785.0,10051.0,10169.0,5687.0,2090.0,2927.0,7276.0,3942.0,1282.0,1096.0,3353.0,3240.0,3139.0,3224.0,2886.0,2999.0,2697.0,2428.0,1767.0,1666.0,1262.0,1839.0,1111.0,929.0,557.0,193.0,33323.0,9203.0,25736.0,7653.0,697.0,2623.0,395.0,744.0,1684.0,6743.0,8663.0,7393.0,7227.0,3696.0,864.0,806.0,21.07,20.97,33.160000000000004,43.38,55.02,63.370000000000005,67.97,67.22,59.02,47.77,37.94,27.160000000000004,2.347,2.184,2.908,2.524,3.133,4.351999999999999,3.2030000000000003,3.241,4.332,3.2060000000000004,2.784,2.924,627.0,1391.0,2446.0,9054.0,1335.0,968.0,1915.0,6413.0,1338.0,841.0,1288.0,3875.0,3731.0,1526.0,2042.0
21340,"El Paso, TX",48,141,482627.0,141628.0,9652.0,17487.0,18074.0,9458.0,9205.0,29529.0,36999.0,9142.0,9880.0,10061.0,10524.0,10689.0,10948.0,10892.0,10057.0,28942.0,42137.0,35148.0,51180.0,46069.0,19848.0,6564.0,8273.0,20242.0,9215.0,2412.0,10256.0,10747.0,14267.0,14099.0,14887.0,11330.0,11115.0,9223.0,9194.0,6118.0,6186.0,4522.0,6621.0,4288.0,4746.0,2765.0,1494.0,158916.0,33056.0,120957.0,38369.0,7077.0,11221.0,3860.0,2172.0,6370.0,20715.0,30370.0,41040.0,45385.0,26214.0,4637.0,5754.0,42.51,46.79,53.725,60.325,68.845,78.63499999999999,79.805,77.25,71.475,61.795,49.25,43.24,0.5355,0.46299999999999997,0.13,0.1865,0.476,0.6355,1.857,1.9095,2.558,1.227,0.396,0.4115,2967.0,10393.0,20220.0,11679.0,7497.0,7024.0,8272.0,30192.0,9408.0,7457.0,6712.0,11165.0,17469.0,5877.0,12015.0
21380,"Emporia, KS",20,017,38417.0,14312.0,705.0,1238.0,1119.0,561.0,491.0,1564.0,1880.0,435.0,522.0,514.0,607.0,954.0,1242.0,1323.0,1231.0,3084.0,4028.0,2739.0,3402.0,2912.0,1493.0,587.0,909.0,2584.0,1684.0,609.0,707.0,1377.0,1320.0,1122.0,1175.0,1138.0,1083.0,1065.0,959.0,869.0,607.0,686.0,890.0,587.0,382.0,218.0,111.0,15556.0,4995.0,11972.0,3410.0,47.0,1831.0,325.0,802.0,1501.0,5064.0,4829.0,2428.0,1691.0,992.0,518.0,636.0,24.425,31.235,43.55,55.015,64.04,74.1,79.685,77.205,68.64,57.32,42.575,32.33,1.0915,0.9864999999999999,2.916,2.8455000000000004,4.4085,4.525,3.3905000000000003,3.6235,3.336,2.8870000000000005,2.158,1.2465,1148.0,1442.0,2357.0,1376.0,1113.0,510.0,665.0,2937.0,674.0,507.0,811.0,1196.0,2830.0,631.0,484.0
21420,"Enid, OK",40,047,62820.0,23844.0,1167.0,2112.0,2007.0,930.0,864.0,2714.0,3454.0,925.0,1031.0,1041.0,1057.0,1057.0,1028.0,1166.0,1058.0,4054.0,5799.0,4612.0,6782.0,6118.0,2976.0,1090.0,1541.0,4755.0,2695.0,787.0,836.0,2134.0,1691.0,2007.0,2219.0,1734.0,1956.0,1726.0,1548.0,1389.0,1397.0,906.0,1553.0,823.0,905.0,553.0,336.0,24194.0,5180.0,21289.0,5127.0,52.0,1005.0,418.0,735.0,1284.0,5270.0,7746.0,6873.0,3190.0,2018.0,360.0,893.0,30.35,36.83,48.44,58.35,66.92999999999999,77.19,82.42999999999999,80.13,71.99,61.07000000000001,45.86,36.760000000000005,1.335,1.326,2.634,2.9850000000000003,5.468999999999999,3.308,2.7310000000000003,3.164,3.229,2.379,2.249,1.101,3575.0,2053.0,1280.0,1555.0,1953.0,615.0,1443.0,4928.0,1428.0,1026.0,1114.0,2642.0,2091.0,1045.0,1243.0
21460,"Enterprise, AL",01,031,38533.0,13430.0,598.0,1052.0,1121.0,569.0,600.0,1978.0,2530.0,737.0,758.0,769.0,787.0,708.0,645.0,576.0,591.0,1858.0,2911.0,3112.0,4597.0,4047.0,1934.0,750.0,926.0,2726.0,1305.0,348.0,827.0,1643.0,1139.0,1276.0,1211.0,911.0,1182.0,983.0,970.0,725.0,639.0,427.0,527.0,288.0,400.0,162.0,83.0,14086.0,2781.0,10773.0,3838.0,114.0,509.0,297.0,284.0,783.0,2493.0,2798.0,2950.0,2899.0,2636.0,595.0,484.0,47.44,49.07,58.17,64.56,71.51,77.72999999999999,80.24,79.55,76.6,64.84,56.35,49.63,6.128,4.886,7.503,5.468999999999999,5.657,4.681,5.774,4.485,4.332,2.729,4.483,4.96,841.0,942.0,2773.0,1474.0,755.0,342.0,450.0,2113.0,609.0,357.0,481.0,729.0,1409.0,311.0,1307.0
21500,"Erie, PA",42,049,279780.0,96820.0,4394.0,8180.0,8077.0,4018.0,3960.0,13550.0,18407.0,4852.0,5097.0,5241.0,5250.0,5827.0,6066.0,5840.0,5714.0,15573.0,23493.0,19610.0,28694.0,27922.0,15774.0,5791.0,7914.0,18844.0,8861.0,2831.0,3347.0,8241.0,7751.0,7468.0,7962.0,7526.0,8557.0,7361.0,7704.0,6171.0,5493.0,3838.0,6023.0,3272.0,3192.0,2059.0,672.0,100121.0,30251.0,74315.0,23553.0,4298.0,8663.0,1082.0,2121.0,5061.0,17457.0,24209.0,23300.0,23719.0,13644.0,2287.0,2318.0,21.96,22.42,34.260000000000005,44.06,55.760000000000005,64.39,68.49,67.41,60.77,49.24,39.37,29.18,2.856,2.455,3.677,3.286,3.386,4.542,4.164,4.917,4.784000000000001,3.821,3.868,3.927,2156.0,4290.0,10048.0,32251.0,3573.0,3534.0,3486.0,18759.0,5407.0,3706.0,3462.0,9478.0,9250.0,4381.0,3507.0
21540,"Escanaba, MI",26,041,38947.0,13568.0,593.0,1203.0,1188.0,571.0,572.0,1965.0,2780.0,714.0,850.0,848.0,876.0,725.0,634.0,587.0,528.0,1727.0,2988.0,2746.0,4154.0,3912.0,2021.0,729.0,1093.0,2989.0,1512.0,442.0,448.0,1649.0,1385.0,1211.0,1170.0,849.0,1035.0,1015.0,1115.0,864.0,659.0,459.0,738.0,368.0,260.0,180.0,82.0,11994.0,3876.0,9089.0,2437.0,120.0,914.0,284.0,381.0,860.0,4041.0,3204.0,2103.0,1817.0,692.0,198.0,465.0,13.47,15.98,26.14,38.27,51.33,59.88,65.61,63.92,55.71,45.53,32.93,20.44,1.9630000000000003,1.471,2.449,2.239,3.125,3.518,3.287,4.042,3.662,2.239,2.444,1.969,468.0,725.0,1399.0,1840.0,806.0,348.0,461.0,2569.0,506.0,298.0,564.0,1065.0,1267.0,670.0,728.0
21580,"Española, NM",35,039,29282.0,9078.0,638.0,1071.0,1104.0,562.0,570.0,1709.0,2291.0,642.0,742.0,656.0,717.0,491.0,620.0,491.0,516.0,1543.0,2330.0,2150.0,3145.0,2626.0,1308.0,398.0,549.0,1462.0,758.0,193.0,887.0,1454.0,976.0,1080.0,897.0,759.0,751.0,528.0,522.0,291.0,314.0,150.0,236.0,111.0,99.0,62.0,8.0,6985.0,1377.0,4829.0,2920.0,77.0,677.0,382.0,155.0,513.0,1461.0,947.0,692.0,975.0,2138.0,1057.0,1137.0,22.51,27.76,34.85,41.510000000000005,50.47,60.79,66.03999999999999,63.370000000000005,56.78,47.06,33.65,25.78,1.456,1.0870000000000002,1.483,0.853,1.162,0.568,1.799,1.939,1.514,1.536,1.274,0.904,735.0,1520.0,90.0,299.0,294.0,223.0,97.0,1272.0,238.0,837.0,431.0,494.0,1328.0,333.0,1201.0
21640,"Eufaula, AL-GA",01,005,27113.0,9147.0,449.0,851.0,831.0,402.0,444.0,1518.0,2014.0,540.0,575.0,583.0,622.0,476.0,411.0,412.0,383.0,1168.0,1830.0,1877.0,2589.0,2584.0,1426.0,607.0,850.0,2344.0,1053.0,274.0,1134.0,1475.0,1003.0,990.0,858.0,669.0,599.0,445.0,480.0,259.0,270.0,188.0,255.0,123.0,187.0,79.0,83.0,7546.0,1818.0,5775.0,2799.0,27.0,413.0,58.0,184.0,589.0,1794.0,1754.0,1410.0,1233.0,1398.0,533.0,384.0,46.89,48.72,57.78,64.67,71.385,77.595,80.02,79.63,76.42,64.67,56.07000000000001,49.415,6.2524999999999995,4.6815,6.7795000000000005,4.9205000000000005,4.741,4.0595,4.9785,4.162,4.0145,2.275,3.8810000000000002,4.579000000000001,576.0,613.0,1644.0,1597.0,239.0,240.0,320.0,1288.0,295.0,163.0,516.0,487.0,771.0,252.0,409.0
21660,"Eugene-Springfield, OR",41,039,275226.0,103525.0,4366.0,8213.0,7878.0,3719.0,3704.0,11988.0,16397.0,4041.0,4291.0,4403.0,4540.0,5444.0,5927.0,6059.0,5806.0,17940.0,30154.0,25742.0,31428.0,23490.0,12346.0,4564.0,6448.0,16185.0,7726.0,2427.0,4664.0,9132.0,9198.0,8732.0,8195.0,7603.0,8408.0,7359.0,7607.0,5848.0,5432.0,3866.0,6229.0,3742.0,3797.0,2503.0,1290.0,101073.0,36367.0,76204.0,18067.0,4111.0,6176.0,6684.0,3346.0,5133.0,18747.0,23591.0,24705.0,20639.0,11343.0,2398.0,3888.0,36.78,40.41,41.8,44.74,50.89,56.61,63.3,63.06,59.34,51.2,42.11,38.71,9.954,7.623,8.189,5.222,3.269,1.77,0.582,1.656,2.575,4.086,9.856,11.019,3991.0,6668.0,4291.0,17513.0,5005.0,2845.0,5127.0,23211.0,6465.0,5155.0,4931.0,7309.0,13515.0,6219.0,5176.0
